,Latest data,Total doses given,Doses per Fraser population
China,2020-12-31 00:00:00,4500000.0,0.31
Ireland,2020-12-31 00:00:00,1800.0,0.04
Israel,2021-01-02 00:00:00,1090000.0,12.59
United States,2021-01-02 00:00:00,4225756.0,1.28
Croatia,2020-12-30 00:00:00,7864.0,0.19
Italy,2021-01-03 00:00:00,114349.0,0.19
Greece,2021-01-02 00:00:00,3001.0,0.03
Bahrain,2021-01-03 00:00:00,60689.0,3.57
Iceland,2020-12-30 00:00:00,4875.0,1.43
France,2021-01-01 00:00:00,516.0,0.0
Portugal,2020-12-30 00:00:00,26850.0,0.26
Russia,2021-01-02 00:00:00,800000.0,0.55
Finland,2020-12-31 00:00:00,1767.0,0.03
Luxembourg,2020-12-30 00:00:00,1200.0,0.19
Argentina,2020-12-31 00:00:00,32013.0,0.07
Germany,2021-01-02 00:00:00,238809.0,0.29
United Kingdom,2020-12-27 00:00:00,944539.0,1.39
