,Israel,United Kingdom
2021-01-01,56.516481012937724,76.82472425360642
2021-01-02,59.85589678615195,82.3321308475296
2021-01-03,66.37736007580516,87.74377083446461
2021-01-04,67.72902665811962,91.91354097353532
2021-01-05,72.4548774195047,93.77888255541876
2021-01-06,77.62797174884221,96.71991266241055
2021-01-07,79.15521519635978,95.94580465913943
2021-01-08,80.91270434682497,99.46394690367335
2021-01-09,83.87442770128649,100.0
2021-01-10,82.45318129479838,99.96873158685172
2021-01-11,87.62627562413591,96.94866323076138
2021-01-12,89.32248635537212,93.26216757048971
2021-01-13,93.77503594049541,89.70581918298507
2021-01-14,97.34303426817095,88.75476664994372
2021-01-15,95.5640102123052,85.81613557102136
2021-01-16,96.18186987497569,81.35815787063567
2021-01-17,100.0,77.45270227008031
2021-01-18,94.70929526520263,75.38370265668044
2021-01-19,92.04240799240343,72.47206064353927
2021-01-20,92.40019997926798,70.40186151610467
2021-01-21,87.88306001543,67.81661699760015
2021-01-22,89.41361542243325,64.10029558295166
2021-01-23,83.58787868708191,62.24356132474976
2021-01-24,75.72303588257195,60.19986497362283
2021-01-25,70.92926844549955,56.53081089580193
2021-01-26,72.9286023258558,53.35817732221459
2021-01-27,75.77935353131588,50.10530598549396
2021-01-28,76.23984493721112,47.916679161604506
2021-01-29,74.47904382726024,45.24810083698521
2021-01-30,74.25542204328401,42.80015204650871
2021-01-31,76.24979515315519,40.670025846285505
2021-02-01,84.77224113416405,39.81615015970554
2021-02-02,83.35598417313491,39.037487245032324
2021-02-03,78.32368396565715,37.568050133202775
2021-02-04,77.3944140864089,35.639442290812426
2021-02-05,77.62962055984161,33.265749902944705
2021-02-06,77.51201015438177,32.063042567349044
2021-02-07,80.61289315719064,30.80086202914006
2021-02-08,73.35099902892203,29.719208353156358
2021-02-09,72.45484874453079,28.653067311378415
2021-02-10,67.6743291454012,27.18745567674067
2021-02-11,64.92296539948612,25.470399964987127
2021-02-12,62.762965640355894,24.513852360894838
2021-02-13,60.06791954318474,23.318050335823376
2021-02-14,53.46860369938709,22.144941819516873
2021-02-15,55.93009213412491,21.103390815450684
2021-02-16,51.111477832166266,20.67239245505669
2021-02-17,47.87144951849703,20.596693393676425
2021-02-18,44.92627162397705,20.250941577993103
2021-02-19,42.68176671675708,19.510971095764145
2021-02-20,37.546767090248615,18.81804101527513
2021-02-21,42.509501811039684,18.5420069004476
2021-02-22,40.922628755292514,18.752845806523215
2021-02-23,41.40631821507464,18.248320477730744
2021-02-24,41.621667269080085,17.576641247235212
2021-02-25,42.723216391532695,17.081177112299606
2021-02-26,43.51004333792183,16.24283026957454
2021-02-27,47.74228309855461,15.52744982505733
2021-02-28,42.67684895873287,14.624880352527411
2021-03-01,41.34505413333264,13.383950664311909
2021-03-02,42.481371661641646,12.879652270607089
2021-03-03,42.618853824015694,12.037479950690212
2021-03-04,42.539338121384915,11.231374100060506
2021-03-05,42.54596204035632,10.619151862529172
2021-03-06,43.71706231200869,10.299432743329085
2021-03-07,42.68344420273037,10.109601542510173
2021-03-08,41.67300980985197,9.957036325013153
2021-03-09,38.17127934686441,9.827618486456394
2021-03-10,36.45353371022766,9.732354378590907
2021-03-11,34.52542846504444,9.777952121559364
2021-03-12,32.68676046346216,9.935542330282912
2021-03-13,29.93539671754708,9.815915119793324
2021-03-14,28.82557486512369,9.681002210185618
2021-03-15,26.166974659782205,9.754302243496445
2021-03-16,23.920820941562862,9.63347551897214
2021-03-17,21.013752087358903,9.57902730758535
2021-03-18,18.737790733768232,9.458930017271346
2021-03-19,17.245330029594026,9.026262063018214
2021-03-20,15.605451284588673,9.031513989332392
2021-03-21,14.5685068783377,9.189347342792706
2021-03-22,13.00481753899046,9.255482711193455
2021-03-23,11.57198644304586,9.26838559189125
2021-03-24,9.690262968149439,9.228509855061386
2021-03-25,8.751042872957129,9.215380039275942
2021-03-26,7.907912615311057,9.54083737426374
2021-03-27,6.895815073946331,9.12775067614495
2021-03-28,6.87759212803149,8.791319408704384
2021-03-29,5.567332208031801,8.642320314013286
2021-03-30,4.8865309776460215,8.320915391304943
2021-03-31,5.096890586192482,7.960121021240275
2021-04-01,4.324988963719447,7.551329880137711
2021-04-02,3.84958657139505,6.879650649642172
2021-04-03,4.450872099150059,6.763832706695274
2021-04-04,3.847923422908723,6.395630526983758
2021-04-05,4.104679139228927,5.929538276249662
