,Israel,United Kingdom
2021-01-01,37.44757111263631,44.86350936123773
2021-01-02,40.08998703576603,47.53140406956494
2021-01-03,41.85159765118584,48.76202564955921
2021-01-04,41.630443071760844,49.36650077784571
2021-01-05,44.93441622817051,54.18914421491758
2021-01-06,48.89994661786013,54.873338854360945
2021-01-07,49.99999999999999,57.119416731809615
2021-01-08,52.86166399755966,65.30575915419918
2021-01-09,55.72523450011438,72.03238314899806
2021-01-10,56.16563715396934,73.3094432791808
2021-01-11,57.048348966674276,74.66544894468392
2021-01-12,60.57347670250894,78.82634304157023
2021-01-13,63.43704720506366,84.82388179841023
2021-01-14,70.044993517883,85.8610094192859
2021-01-15,69.16418821017311,85.31380850289852
2021-01-16,69.16418821017311,88.3238005309474
2021-01-17,73.57012125371767,89.634915597935
2021-01-18,74.89132921528252,90.46771359798146
2021-01-19,68.0622283230382,94.64099130825134
2021-01-20,80.17616106154199,97.58209948685402
2021-01-21,82.59932891024174,98.07280016717877
2021-01-22,78.41455044612216,99.39552487171349
2021-01-23,84.14169145123161,100.0
2021-01-24,91.19004041790589,99.1904212750478
2021-01-25,100.0,99.09909212634382
2021-01-26,95.37481888202547,99.37230559661926
2021-01-27,93.39205368718065,98.2322391894925
2021-01-28,93.39205368718065,97.58209948685403
2021-01-29,95.59597346145047,95.83755795144077
2021-01-30,87.44566460764128,94.16112628963725
2021-01-31,83.03973156409671,93.92196775616665
2021-02-01,70.04499351788301,91.78966432667974
2021-02-02,82.38008083581178,89.68058017228702
2021-02-03,75.5528864485625,85.07464996942798
2021-02-04,73.12971859986274,81.38046330193572
2021-02-05,70.48539617173797,78.72417823115563
2021-02-06,73.3489666742927,74.42629041121339
2021-02-07,71.58735605887289,71.98671857464612
2021-02-08,78.19530237169224,71.14308491288904
2021-02-09,72.46816136658279,66.59442892192907
2021-02-10,68.06222832303823,62.94590682878882
2021-02-11,62.11583924349884,60.26717645875097
2021-02-12,62.55624189735379,57.34851357940607
2021-02-13,61.67543658964387,54.988661253995666
2021-02-14,58.81186608708915,53.65432691191382
2021-02-15,53.525127735834666,52.53747977988129
2021-02-16,49.559597346145054,49.65287183734126
2021-02-17,47.57683215130024,46.64287980929237
2021-02-18,49.77884542057501,44.077149911379784
2021-02-19,48.8980401128651,41.499810375920084
2021-02-20,38.54571798978114,39.504500669489126
2021-02-21,41.6285365667658,39.02618360254795
2021-02-22,40.086174025775954,38.37604389990947
2021-02-23,42.509341874475716,35.5138812566272
2021-02-24,41.18813391291086,32.150956247146
2021-02-25,39.20536871806604,30.65795685858691
2021-02-26,37.66300617707619,28.51481776738934
2021-02-27,45.37291237703044,26.74783093271832
2021-02-28,38.54571798978114,25.915032932671878
2021-03-01,36.122550141081376,25.071399270914796
2021-03-02,34.360939525661564,22.734766220598623
2021-03-03,31.497369023106852,23.236302562634023
2021-03-04,29.735758407687047,22.301339752172964
2021-03-05,30.176161061541997,21.058334558795107
2021-03-06,27.312590558987278,19.55295155685243
2021-03-07,30.61656371539695,18.84631161815131
2021-03-08,34.58209410508657,18.401275512178543
2021-03-09,31.4992755281019,17.124215381995807
2021-03-10,32.3800808358118,13.73807109742037
2021-03-11,31.939678181956843,13.042266820429898
2021-03-12,32.16083276138185,12.358846156823018
2021-03-13,29.07610767940213,11.937029325944478
2021-03-14,26.431785251277372,11.594932006222798
2021-03-15,24.88942271028752,11.584096344512156
2021-03-16,25.329825364142465,10.204097428078327
2021-03-17,23.568214748722653,9.645286874143823
2021-03-18,22.466254861587746,8.664659489330779
2021-03-19,20.483489666742937,7.797806552479468
2021-03-20,20.704644246167934,7.501373807109776
2021-03-21,17.84107374361322,7.2962702104440655
2021-03-22,17.400671089758266,6.771514593314433
2021-03-23,16.29871120262336,6.794733868408665
2021-03-24,21.364294974452843,6.304807163920377
2021-03-25,20.704644246167934,5.940264544940941
2021-03-26,20.26424159231298,5.609776862766378
2021-03-27,18.28147639746817,5.176350394340724
2021-03-28,20.485396171737978,5.027747033737642
2021-03-29,19.38343628460307,5.085021245636747
2021-03-30,15.639060474338454,4.434881542998263
2021-03-31,12.11583924349883,3.8071871396175365
2021-04-01,12.556241897353784,3.67019341656157
2021-04-02,12.11583924349883,3.453480182348742
2021-04-03,15.640966979333495,2.906279265961352
2021-04-04,12.77739647677878,2.780895180452502
2021-04-05,11.236940440783965,2.8373954165151325
