,Belgium,Switzerland,Germany,Spain,France,United Kingdom,Italy,Netherlands,Poland,Sweden
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0,2.78,5.56,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,2.78,5.56,2.78,0.0,5.56,0.0
2020-01-24,0.0,0.0,5.56,0.0,5.56,5.56,2.78,0.0,5.56,0.0
2020-01-25,0.0,0.0,5.56,0.0,5.56,5.56,2.78,0.0,5.56,0.0
2020-01-26,0.0,0.0,5.56,0.0,5.56,5.56,2.78,0.0,5.56,0.0
2020-01-27,0.0,0.0,5.56,0.0,5.56,5.56,2.78,0.0,5.56,0.0
2020-01-28,5.56,0.0,5.56,0.0,5.56,5.56,2.78,0.0,5.56,0.0
2020-01-29,5.56,0.0,5.56,0.0,5.56,5.56,2.78,0.0,5.56,0.0
2020-01-30,5.56,0.0,5.56,0.0,5.56,5.56,8.33,0.0,5.56,0.0
2020-01-31,11.11,0.0,5.56,11.11,5.56,8.33,19.44,0.0,5.56,0.0
2020-02-01,11.11,0.0,5.56,11.11,5.56,8.33,19.44,0.0,5.56,5.56
2020-02-02,11.11,0.0,5.56,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-03,11.11,0.0,5.56,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-04,11.11,0.0,5.56,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-05,11.11,0.0,5.56,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-06,11.11,0.0,5.56,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-07,11.11,0.0,5.56,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-08,11.11,0.0,5.56,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-09,11.11,0.0,5.56,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-10,11.11,0.0,5.56,11.11,5.56,11.11,19.44,0.0,5.56,5.56
2020-02-11,11.11,0.0,5.56,11.11,5.56,11.11,19.44,0.0,5.56,5.56
